date,country,state,city,temp_min_c,temp_max_c,temp_avg_c,rainfall_mm,humidity_percent,soil_moisture,flood,cyclone_storm,heatwave,landslide,wildfire,volcanic_eruption
01-01-2020,India,Kerala,Trivandrum,22.05,36.7,29.37,30.61,76.83,0.25,0,0,0,0,0,0
02-01-2020,India,West Bengal,Kolkata,24.94,41.31,33.13,25.03,82.81,0.49,0,0,1,0,0,0
03-01-2020,India,Tamil Nadu,Chennai,30.78,45.91,38.35,0.0,53.82,0.55,0,0,1,0,0,0
04-01-2020,India,Kerala,Kochi,28.17,44.37,36.27,37.56,51.85,0.49,0,0,1,0,0,0
05-01-2020,India,Karnataka,Mysore,30.5,45.71,38.1,83.25,36.81,0.48,0,0,1,0,1,0
06-01-2020,India,Tamil Nadu,Chennai,30.41,40.34,35.37,23.86,85.69,0.38,0,0,1,0,0,0
07-01-2020,India,Karnataka,Bangalore,24.45,40.82,32.63,0.72,46.29,0.49,0,0,1,0,0,0
08-01-2020,India,Kerala,Trivandrum,20.73,37.01,28.87,55.87,46.13,0.63,0,0,0,0,0,0
09-01-2020,India,Kerala,Kochi,21.45,29.95,25.7,12.05,77.55,0.79,0,0,0,0,0,0
10-01-2020,India,Tamil Nadu,Coimbatore,29.72,37.28,33.5,71.97,68.06,0.87,1,0,0,0,0,0
11-01-2020,India,West Bengal,Kolkata,24.46,42.23,33.35,54.1,64.16,0.2,0,0,1,0,0,0
12-01-2020,India,Karnataka,Bangalore,28.83,42.82,35.83,69.18,61.38,0.52,0,1,1,0,0,0
13-01-2020,India,Maharashtra,Pune,23.42,38.85,31.13,57.68,66.6,0.21,0,0,0,0,0,0
14-01-2020,India,Kerala,Trivandrum,27.32,37.06,32.19,35.16,68.01,0.27,0,0,0,0,0,0
15-01-2020,India,Maharashtra,Pune,24.95,34.24,29.59,12.81,47.32,0.41,0,0,0,0,0,0
16-01-2020,India,Tamil Nadu,Coimbatore,28.41,45.19,36.8,77.36,52.26,0.92,1,1,1,0,0,0
17-01-2020,India,Karnataka,Mysore,31.59,38.02,34.8,60.32,55.11,0.73,0,1,0,0,0,0
18-01-2020,India,Kerala,Kochi,19.49,29.91,24.7,30.63,95.59,0.38,0,0,0,0,0,0
19-01-2020,India,West Bengal,Kolkata,19.45,28.56,24.01,51.94,83.19,0.93,0,0,0,0,0,0
20-01-2020,India,Tamil Nadu,Coimbatore,18.52,29.99,24.26,56.06,43.07,0.2,0,0,0,0,0,0
21-01-2020,India,Tamil Nadu,Coimbatore,30.04,45.66,37.85,37.0,69.06,0.4,0,0,1,0,0,0
22-01-2020,India,West Bengal,Kolkata,25.11,35.58,30.35,0.0,88.91,0.39,0,0,0,0,0,0
23-01-2020,India,Tamil Nadu,Coimbatore,18.99,29.69,24.34,81.3,91.04,0.63,1,1,0,0,0,0
24-01-2020,India,Kerala,Trivandrum,23.85,40.72,32.28,110.17,59.38,0.22,0,0,1,1,0,0
25-01-2020,India,Kerala,Trivandrum,25.51,36.57,31.04,61.16,36.55,0.88,0,0,0,0,0,0
26-01-2020,India,Karnataka,Bangalore,19.13,33.29,26.21,8.08,65.31,0.64,0,0,0,0,0,0
27-01-2020,India,Karnataka,Bangalore,20.89,32.26,26.58,41.08,73.12,0.31,0,0,0,0,0,0
28-01-2020,India,Tamil Nadu,Chennai,28.33,34.94,31.64,3.16,70.98,0.46,0,0,0,0,0,0
29-01-2020,India,Kerala,Kochi,22.35,35.38,28.87,2.19,95.63,0.34,0,0,0,0,0,0
30-01-2020,India,Tamil Nadu,Coimbatore,30.19,41.38,35.79,90.68,38.58,0.65,1,1,1,0,1,0
31-01-2020,India,Kerala,Kochi,25.99,40.21,33.1,70.09,43.54,0.26,0,0,1,0,0,0
01-02-2020,India,Karnataka,Mysore,27.46,33.65,30.55,16.87,65.4,0.92,0,0,0,0,0,0
02-02-2020,India,Tamil Nadu,Chennai,31.29,48.64,39.96,14.65,42.81,0.52,0,0,1,0,0,0
03-02-2020,India,West Bengal,Kolkata,20.35,33.61,26.98,28.98,55.75,0.74,0,0,0,0,0,0
04-02-2020,India,Karnataka,Mysore,30.76,43.63,37.2,38.06,42.34,0.53,0,0,1,0,0,0
05-02-2020,India,Maharashtra,Mumbai,30.68,48.62,39.65,77.35,91.32,0.48,0,1,1,0,0,0
06-02-2020,India,Maharashtra,Pune,20.85,37.62,29.24,0.0,50.18,0.22,0,0,0,0,0,0
07-02-2020,India,Maharashtra,Mumbai,31.2,48.91,40.05,133.62,94.48,0.38,0,1,1,0,0,0
08-02-2020,India,Kerala,Trivandrum,25.02,35.15,30.08,0.0,49.19,0.61,0,0,0,0,0,0
09-02-2020,India,Tamil Nadu,Chennai,26.58,44.27,35.43,0.0,85.97,0.24,0,0,1,0,0,0
10-02-2020,India,Karnataka,Mysore,19.47,33.6,26.53,115.57,84.64,0.85,1,1,0,0,0,0
11-02-2020,India,Kerala,Trivandrum,21.32,33.14,27.23,0.0,96.01,0.81,0,0,0,0,0,0
12-02-2020,India,Karnataka,Bangalore,21.73,39.61,30.67,84.14,47.24,0.28,0,0,1,0,0,0
13-02-2020,India,Karnataka,Bangalore,18.02,28.55,23.29,0.0,94.79,0.81,0,0,0,0,0,0
14-02-2020,India,West Bengal,Kolkata,28.82,43.57,36.19,0.0,60.25,0.74,0,0,1,0,0,0
15-02-2020,India,Tamil Nadu,Coimbatore,31.26,39.86,35.56,20.96,40.79,0.57,0,0,1,0,0,0
16-02-2020,India,Tamil Nadu,Coimbatore,31.77,43.19,37.48,25.77,92.91,0.5,0,0,1,0,0,0
17-02-2020,India,Karnataka,Bangalore,22.83,35.09,28.96,43.69,40.77,0.39,0,0,0,0,0,0
18-02-2020,India,West Bengal,Kolkata,19.95,37.25,28.6,29.42,80.49,0.57,0,0,0,0,0,0
19-02-2020,India,Tamil Nadu,Chennai,26.73,42.72,34.73,0.0,58.15,0.41,0,0,1,0,0,0
20-02-2020,India,Kerala,Trivandrum,25.07,31.72,28.4,9.64,38.43,0.6,0,0,0,0,0,0
21-02-2020,India,Maharashtra,Mumbai,27.17,40.72,33.95,60.69,42.41,0.35,0,0,1,0,0,0
22-02-2020,India,West Bengal,Kolkata,27.91,42.63,35.27,21.46,54.37,0.31,0,0,1,0,0,0
23-02-2020,India,Kerala,Kochi,31.31,40.34,35.82,91.14,76.49,0.31,0,1,1,1,0,0
24-02-2020,India,Tamil Nadu,Coimbatore,26.22,32.56,29.39,105.95,48.47,0.56,1,0,0,0,0,0
25-02-2020,India,Maharashtra,Pune,21.56,35.8,28.68,0.0,56.69,0.54,0,0,0,0,0,0
26-02-2020,India,Karnataka,Mysore,22.15,34.95,28.55,61.86,51.48,0.52,0,1,0,0,0,0
27-02-2020,India,Kerala,Trivandrum,29.49,39.29,34.39,0.0,68.54,0.64,0,0,1,0,0,0
28-02-2020,India,Tamil Nadu,Chennai,20.81,30.25,25.53,44.5,78.63,0.84,0,0,0,0,0,0
29-02-2020,India,Karnataka,Mysore,30.31,36.94,33.62,0.0,91.24,0.22,0,0,0,0,0,0
01-03-2020,India,Tamil Nadu,Chennai,31.27,42.6,36.93,0.0,74.0,0.54,0,0,1,0,0,0
02-03-2020,India,Tamil Nadu,Coimbatore,18.49,28.73,23.61,0.0,59.35,0.22,0,0,0,0,0,0
03-03-2020,India,Tamil Nadu,Coimbatore,30.27,38.6,34.43,53.99,47.88,0.88,0,0,0,0,0,0
04-03-2020,India,Tamil Nadu,Chennai,24.09,37.34,30.71,37.0,45.53,0.71,0,0,0,0,0,0
05-03-2020,India,Tamil Nadu,Coimbatore,20.29,31.44,25.86,0.0,45.47,0.79,0,0,0,0,0,0
06-03-2020,India,Kerala,Kochi,18.04,27.37,22.71,45.24,58.52,0.23,0,0,0,0,0,0
07-03-2020,India,Karnataka,Bangalore,23.7,36.91,30.3,71.81,91.78,0.4,0,0,0,0,0,0
08-03-2020,India,Maharashtra,Pune,30.54,43.51,37.03,92.51,60.06,0.63,1,0,1,0,0,0
09-03-2020,India,Karnataka,Mysore,24.64,37.39,31.01,28.04,58.46,0.55,0,0,0,0,0,0
10-03-2020,India,Maharashtra,Mumbai,31.08,39.64,35.36,17.53,64.65,0.37,0,0,1,0,0,0
11-03-2020,India,West Bengal,Kolkata,27.98,36.9,32.44,54.72,77.13,0.36,0,0,0,0,0,0
12-03-2020,India,Karnataka,Mysore,18.94,31.32,25.13,40.46,86.89,0.87,0,0,0,0,0,0
13-03-2020,India,Karnataka,Mysore,29.86,36.98,33.42,8.34,49.18,0.47,0,0,0,0,0,0
14-03-2020,India,West Bengal,Kolkata,30.35,40.73,35.54,67.52,66.78,0.49,0,1,1,0,0,0
15-03-2020,India,Karnataka,Bangalore,29.2,40.35,34.77,82.24,90.0,0.33,0,0,1,0,0,0
16-03-2020,India,West Bengal,Kolkata,24.38,33.59,28.98,75.1,79.33,0.39,0,0,0,0,0,0
17-03-2020,India,Kerala,Trivandrum,20.84,32.76,26.8,7.48,67.12,0.86,0,0,0,0,0,0
18-03-2020,India,Karnataka,Mysore,18.39,29.71,24.05,42.16,62.47,0.4,0,0,0,0,0,0
